date,gdpdef
1/1/47,11.96
4/1/47,12.131
7/1/47,12.335
10/1/47,12.639
1/1/48,12.739
4/1/48,12.854
7/1/48,13.092
10/1/48,13.132
1/1/49,13.062
4/1/49,12.931
7/1/49,12.872
10/1/49,12.873
1/1/50,12.853
4/1/50,12.897
7/1/50,13.177
10/1/50,13.425
1/1/51,13.909
4/1/51,14.002
7/1/51,14.01
10/1/51,14.17
1/1/52,14.163
4/1/52,14.18
7/1/52,14.339
10/1/52,14.378
1/1/53,14.381
4/1/53,14.409
7/1/53,14.47
10/1/53,14.497
1/1/54,14.543
4/1/54,14.556
7/1/54,14.575
10/1/54,14.615
1/1/55,14.683
4/1/55,14.744
7/1/55,14.847
10/1/55,14.995
1/1/56,15.144
4/1/56,15.234
7/1/56,15.425
10/1/56,15.487
1/1/57,15.7
4/1/57,15.81
7/1/57,15.904
10/1/57,15.915
1/1/58,16.087
4/1/58,16.134
7/1/58,16.232
10/1/58,16.309
1/1/59,16.347
4/1/59,16.372
7/1/59,16.435
10/1/59,16.499
1/1/60,16.566
4/1/60,16.607
7/1/60,16.665
10/1/60,16.714
1/1/61,16.75
4/1/61,16.789
7/1/61,16.832
10/1/61,16.885
1/1/62,16.972
4/1/62,16.999
7/1/62,17.035
10/1/62,17.07
1/1/63,17.145
4/1/63,17.175
7/1/63,17.198
10/1/63,17.337
1/1/64,17.392
4/1/64,17.432
7/1/64,17.502
10/1/64,17.581
1/1/65,17.67
4/1/65,17.751
7/1/65,17.819
10/1/65,17.942
1/1/66,18.057
4/1/66,18.205
7/1/66,18.381
10/1/66,18.535
1/1/67,18.612
4/1/67,18.707
7/1/67,18.886
10/1/67,19.096
1/1/68,19.308
4/1/68,19.511
7/1/68,19.703
10/1/68,19.981
1/1/69,20.187
4/1/69,20.444
7/1/69,20.731
10/1/69,20.998
1/1/70,21.294
4/1/70,21.591
7/1/70,21.768
10/1/70,22.056
1/1/71,22.391
4/1/71,22.685
7/1/71,22.916
10/1/71,23.107
1/1/72,23.458
4/1/72,23.604
7/1/72,23.83
10/1/72,24.134
1/1/73,24.412
4/1/73,24.787
7/1/73,25.27
10/1/73,25.773
1/1/74,26.26
4/1/74,26.88
7/1/74,27.668
10/1/74,28.482
1/1/75,29.129
4/1/75,29.562
7/1/75,30.084
10/1/75,30.587
1/1/76,30.911
4/1/76,31.222
7/1/76,31.626
10/1/76,32.192
1/1/77,32.711
4/1/77,33.172
7/1/77,33.576
10/1/77,34.301
1/1/78,34.8
4/1/78,35.465
7/1/78,36.067
10/1/78,36.806
1/1/79,37.476
4/1/79,38.394
7/1/79,39.234
10/1/79,39.962
1/1/80,40.801
4/1/80,41.772
7/1/80,42.705
10/1/80,43.818
1/1/81,44.972
4/1/81,45.863
7/1/81,46.726
10/1/81,47.534
1/1/82,48.188
4/1/82,48.814
7/1/82,49.506
10/1/82,50.019
1/1/83,50.397
4/1/83,50.771
7/1/83,51.311
10/1/83,51.7
1/1/84,52.223
4/1/84,52.67
7/1/84,53.138
10/1/84,53.536
1/1/85,54.065
4/1/85,54.413
7/1/85,54.741
