state,institution_name,composite_year,composite_score,institution_type,unitid,opeid,city,zip_code
AK,Alaska Bible College,2016,0.9,Non-profit,102580,00884300,Palmer,99645-6619
AK,Alaska Bible College,2015,1.2,Non-Profit,102580,00884300,Palmer,99645-6619
AK,Alaska Bible College,2014,1.4,Non Profit,102580,00884300,Palmer,99645-6619
AK,Alaska Bible College,2013,1.4,Non Profit,102580,00884300,Palmer,99645-6619
AK,Alaska Bible College,2012,1.3,Non Profit,102580,00884300,Glennallen,99588-0000
AK,Alaska Bible College,2011,1.6,Non-Profit,102580,00884300,Glennallen,99588-0000
AK,Alaska Bible College,2010,3,Non Profit,102580,00884300,Glennallen,99588-0000
AK,Alaska Bible College,2009,1.7,Private Non-Profit,102580,00884300,Glennallen,99588-0000
AK,Alaska Career College,2016,2.4,Proprietary,103501,02541000,Anchorage,99507-1033
AK,Alaska Career College,2015,2,Proprietary,103501,02541000,Anchorage,99507-1033
AK,Alaska Career College,2014,2.6,Proprietary,103501,02541000,Anchorage,99507-1033
AK,Alaska Career College,2013,2.4,Proprietary,103501,02541000,Anchorage,99507-1033
AK,Alaska Career College,2012,1.4,Proprietary,103501,02541000,Anchorage,99507-1033
AK,Alaska Career College,2011,2.7,Proprietary,103501,02541000,Anchorage,99507-1033
AK,Alaska Career College,2010,2.6,Proprietary,103501,02541000,Anchorage,99507-1033
AK,Alaska Career College,2009,2.7,Proprietary,103501,02541000,Anchorage,99507-1033
AK,Alaska Career College,2008,2.3,Proprietary,103501,02541000,Anchorage,99507-1033
AK,Alaska Christian College,2016,3,Non-profit,442523,04138600,Soldotna,99669-9755
AK,Alaska Christian College,2014,2.1,Non Profit,442523,04138600,Soldotna,99669-9755
AK,Alaska Christian College,2013,2.6,Non Profit,442523,04138600,Soldotna,99669-9755
AK,Alaska Christian College,2012,1.6,Non Profit,442523,04138600,Soldotna,99669-9755
AK,Alaska Christian College,2011,1.3,Non-Profit,442523,04138600,Soldotna,99669-9755
AK,Alaska Christian College,2010,2.2,Non Profit,442523,04138600,Soldotna,99669-9755
AK,Alaska Christian College,2009,2.9,Private Non-Profit,442523,04138600,Soldotna,99669-9755
AK,Alaska Christian College,2008,3,Non Profit,442523,04138600,Soldotna,99669-9755
AK,Alaska Christian College,2007,1.7,Private Non-Profit,442523,04138600,Soldotna,99669-9755
AK,Alaska Christian College,2006,2.6,Private Non-Profit,442523,4138600,Soldotna,99669-9755
AK,Alaska Pacific University,2016,2.2,Non-profit,102669,00106100,Anchorage,99508-4672
AK,Alaska Pacific University,2015,2.2,Non-Profit,102669,00106100,Anchorage,99508-4672
AK,Alaska Pacific University,2014,2.6,Non Profit,102669,00106100,Anchorage,99508-4672
AK,Alaska Pacific University,2013,2.2,Non Profit,102669,00106100,Anchorage,99508-4672
AK,Alaska Pacific University,2012,3,Non Profit,102669,00106100,Anchorage,99508-4672
AK,Alaska Pacific University,2010,2.2,Non Profit,102669,00106100,Anchorage,99508-4672
AK,Alaska Pacific University,2009,2.2,Private Non-Profit,102669,00106100,Anchorage,99508-4672
AK,Alaska Pacific University,2008,3,Non Profit,102669,00106100,Anchorage,99508-4672
AK,Alaska Pacific University,2007,3,Private Non-Profit,102669,00106100,Anchorage,99508-4672
AK,Alaska Pacific University,2006,3,Private Non-Profit,102669,00106100,Anchorage,99508-4672
AK,Career Academy,2007,2.8,Proprietary,103501,02541000,Anchorage,99507-1033
AK,Career Academy,2006,2.9,Proprietary,103501,02541000,Anchorage,99507-1033
AK,Charter College,2013,1.3,Proprietary,102845,02576900,Anchorage,99508-4103
AK,Charter College,2012,2.6,Proprietary,102845,02576900,Anchorage,99508-4103
AK,Charter College,2011,1.9,Proprietary,102845,02576900,Anchorage,99508-4103
AK,Charter College,2010,1.7,Proprietary,102845,02576900,Anchorage,99508-4103
AK,Charter College,2009,2.2,Proprietary,102845,02576900,Anchorage,99508-4103
